Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
54633167,Lonely Castle in the Mirror,Mizuki Tsujimura,"Tsujimura, Mizuki",,"=""0857527274""","=""9780857527271""",0,4.25,Doubleday,Hardcover,355,2021,2017,,2024/05/23,to-read,to-read (#76),to-read,,,,0,0
44034616,The Lost Causes of Bleak Creek,Rhett McLaughlin,"McLaughlin, Rhett","Link Neal, Lance   Rubin","=""1984822136""","=""9781984822130""",0,3.94,Crown,Hardcover,327,2019,2019,,2024/05/21,to-read,to-read (#75),to-read,,,,0,0
3735293,Clean Code: A Handbook of Agile Software Craftsmanship,Robert C. Martin,"Martin, Robert C.",,"=""0132350882""","=""9780132350884""",3,4.36,Pearson,Paperback,464,2008,2007,2024/04/15,2024/05/20,,,read,,,,1,0
23615147,Web Scalability for Startup Engineers,Artur Ejsmont,"Ejsmont, Artur",,"=""0071843655""","=""9780071843652""",5,4.51,McGraw Hill,Paperback,416,2015,2015,2024/03/20,2024/01/31,,,read,,,,1,0
202173601,The Orphanage by the Lake,Daniel G.  Miller,"Miller, Daniel G.",,"=""1737646366""","=""9781737646365""",0,3.93,Houndstooth Books,Kindle Edition,300,2024,2024,,2024/05/20,to-read,to-read (#74),to-read,,,,0,0
94340,The Cases That Haunt Us,John E. Douglas,"Douglas, John E.",Mark Olshaker,"=""0671017063""","=""9780671017064""",0,3.98,Pocket Books,Mass Market Paperback,487,2001,2000,,2024/05/20,to-read,to-read (#73),to-read,,,,0,0
36100717,Mindhunter: Inside the FBI's Elite Serial Crime Unit,John E. Douglas,"Douglas, John E.",Mark Olshaker,"=""1501191969""","=""9781501191961""",5,4.09,Gallery Books,Paperback,420,2017,1995,2024/05/20,2024/05/19,,,read,,,,1,0
4099,The Pragmatic Programmer: From Journeyman to Master,Dave         Thomas,"Thomas, Dave","Andy   Hunt, Ward Cunningham","=""020161622X""","=""9780201616224""",0,4.33,Addison-Wesley Professional,Paperback,321,1999,1999,,2024/01/31,to-read,to-read (#72),to-read,,,,0,0
29044,The Secret History,Donna Tartt,"Tartt, Donna",,"=""1400031702""","=""9781400031702""",0,4.16,Vintage,Paperback,573,1992,1992,,2022/05/04,to-read,to-read (#71),to-read,,,,0,0
58346352,The Old Place,Bobby Finger,"Finger, Bobby",,"=""059342235X""","=""9780593422359""",0,3.56,Putnam,Kindle Edition,336,2022,2022,,2022/05/03,to-read,to-read (#70),to-read,,,,0,0
42815544,"Bunny (Bunny, #1)",Mona Awad,"Awad, Mona",,"=""0525559736""","=""9780525559733""",0,3.48,Viking,Hardcover,307,2019,2019,,2022/04/26,to-read,to-read (#69),to-read,,,,0,0
35758494,Stolen Tongues,Felix Blackwell,"Blackwell, Felix",,"=""""","=""""",0,3.78,CreateSpace Independent Publishing Platform,Paperback,306,2017,2017,,2022/04/03,to-read,to-read (#68),to-read,,,,0,0
10966007,The Help,Kathryn Stockett,"Stockett, Kathryn",,"=""0425245136""","=""9780425245132""",4,4.47,Berkley,Paperback,522,2011,2009,,2019/02/20,,,read,,,,1,0
17465811,Lenin's Kisses,Yan Lianke,"Lianke, Yan",,"=""0802121772""","=""9780802121776""",4,3.80,Grove Press,Paperback,512,2013,2003,2021/10/28,2019/02/20,,,read,,,,1,0
201271,Naoko,Keigo Higashino,"Higashino, Keigo",Kerim Yasar,"=""1932234071""","=""9781932234077""",0,3.88,Vertical,Paperback,288,2004,1998,,2022/03/24,to-read,to-read (#67),to-read,,,,0,0
50892433,One by One,Ruth Ware,"Ware, Ruth",,"=""""","=""""",3,3.72,Scout Press,Hardcover,372,2020,2020,2022/03/11,2022/01/29,,,read,My mood was just right while reading the end of this which bumped it up a star,,,1,0
28951455,Zoo,Otsuichi,"Otsuichi, Otsuichi",Ngô Thị Vân,"=""604695066X""","=""9786046950660""",0,3.92,"NXB Hội nhà văn, IPM",Paperback,342,2015,2003,,2021/10/26,to-read,to-read (#35),to-read,,,,0,0
57307172,Tell Me I’m Worthless,Alison Rumfitt,"Rumfitt, Alison",,"=""""","=""9781838390020""",0,3.51,Cipher Press,Paperback,264,2021,2021,,2022/03/21,to-read,to-read (#66),to-read,,,,0,0
1073750,The Vet's Daughter,Barbara Comyns,"Comyns, Barbara",Kathryn Davis,"=""1590170296""","=""9781590170298""",0,3.89,New York Review Books ,Paperback,152,2003,1959,,2022/03/21,to-read,to-read (#65),to-read,,,,0,0
